Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
694 10,6 8,2,6 0 5
695 0 0 0 5
696 0 0 0 5
697 0 0 0 5
698 0 0 0 5
699 0 0 0 5
700 0 0 0 5
701 0 0 0 5
702 0 0 0 5
703 0 0 0 5
704 0 0 0 5
705 0 0 0 5
706 0 0 0 5
707 0 0 0 5
708 0 0 0 5
709 0 0 0 5
710 0 0 0 5
711 0 0 0 5
712 0 0 0 5
713 0 0 0 5
714 0 0 0 5
715 0 0 0 5
716 0 0 0 5
717 0 0 0 5
718 0 0 0 5
719 0 0 0 5
720 0 0 0 5
721 0 0 0 5
722 0 0 0 5
723 0 0 0 5
724 2,13,15 23,7 0 5
725 0 0 0 5
726 0 0 0 5
727 0 0 0 5
728 0 0 0 5
729 0 0 0 5
730 0 0 0 5
731 0 0 0 5
732 0 0 0 5
733 0 0 0 5
734 0 0 0 5
735 0 0 0 5
736 0 0 0 5
737 12,21 7,11,15 0 5
738 0 0 0 5
739 0 0 1035800 5
740 0 0 0 5
741 0 0 0 5
742 0 0 0 5
743 0 0 0 5
744 0 0 0 5
745 0 0 0 5
746 0 0 0 5
747 0 0 0 5
748 0 0 0 5
749 0 0 0 5
750 0 0 0 5
751 0 0 0 5
752 0 0 0 5
753 23,10 3,6,24 0 5
754 0 0 0 5
755 0 0 0 5
756 0 0 0 5
757 0 0 0 5
758 0 0 0 5
759 0 0 0 5
760 0 0 0 5
761 18,17,7 21,21 0 5
762 0 0 0 5
763 0 0 0 5
764 0 0 0 5
765 0 0 0 5
766 0 0 0 5
767 0 0 0 5
768 0 0 0 5
769 0 0 0 5
770 0 0 0 5
771 0 0 0 5
772 25,6,5 24,12 0 5
773 0 0 0 5
774 0 0 0 5
775 0 0 0 5
776 0 0 0 5
777 8,7,21 22,14 0 5
778 0 0 0 5
779 0 0 0 5
780 0 0 0 5
781 0 0 0 5
782 0 0 0 5
783 0 0 0 5
784 0 0 0 5
785 12,5 6,2,9 0 5
786 0 0 0 5
787 13,19,2 11,23 0 5
788 0 0 0 5
789 0 0 0 5
790 0 0 0 5
791 0 0 0 5
792 17,20 9,4,24 0 5
793 20,12,2 16,18 0 5
794 0 0 0 5
795 0 0 0 5
796 0 0 0 5
797 0 0 0 5
798 0 0 0 5
799 0 0 0 5
800 0 0 0 5
801 0 0 0 5
802 0 0 0 5
803 2,18,3 2,21 0 5
804 0 0 0 5
805 24,7,9 22,18 0 5
806 0 0 0 5
807 0 0 0 5
808 14,25,4 20,23 0 5
809 0 0 0 5
810 0 0 0 5
811 0 0 0 5
812 0 0 0 5
813 0 0 0 5
814 16,21 13,7,17 0 5
815 0 0 0 5
816 0 0 0 5
817 0 0 0 5
818 0 0 0 5
819 0 0 0 5
820 0 0 0 5
821 0 0 1085400 5
822 0 0 0 5
823 0 0 0 5
824 0 0 0 5
825 0 0 0 5
826 0 0 0 5
827 0 0 0 5
828 0 0 0 5
829 0 0 0 5
830 0 0 0 5
831 0 0 0 5
832 0 0 0 5
833 0 0 0 5
834 0 0 0 5
835 0 0 0 5
836 0 0 0 5
837 0 0 0 5
838 0 0 0 5
839 13,24 15,11,11 0 5
840 0 0 0 5
841 0 0 0 5
842 0 0 0 5
843 0 0 0 5
844 0 0 0 5
845 21,2 12,7,4 0 5
846 0 0 0 5
847 7,22 15,6,8 0 5
848 0 0 0 5
849 0 0 0 5
850 0 0 0 5
851 0 0 0 5
852 9,15,3 23,4 0 5
853 0 0 0 5
854 15,16 3,19,9 0 5
855 20,14 18,12,4 0 5
856 0 0 0 5
857 0 0 0 5
858 0 0 0 5
859 7,8,18 21,12 0 5
860 18,14,3 16,19 0 5
861 0 0 0 5
862 0 0 0 5
863 3,6,9 7,11 0 5
864 0 0 0 5
865 0 0 0 5
866 0 0 0 5
867 12,15,15 17,25 0 5
868 0 0 0 5
869 0 0 0 5
870 6,22 9,10,9 0 5
871 0 0 0 5
872 0 0 0 5
873 0 0 0 5
874 0 0 0 5
875 0 0 0 5
876 0 0 0 5
877 0 0 0 5
878 0 0 0 5
879 6,15,2 9,14 0 5
880 0 0 0 5
881 0 0 0 5
882 0 0 0 5
883 0 0 0 5
884 0 0 0 5
885 0 0 0 5
886 0 0 0 5
887 0 0 0 5
888 0 0 0 5
889 0 0 0 5
890 0 0 0 5
891 0 0 0 5
892 0 0 0 5
893 0 0 0 5
894 0 0 953600 5
895 0 0 0 5
896 0 0 0 5
897 0 0 0 5
898 0 0 0 5
899 12,15,6 24,9 0 5
900 0 0 0 5
901 0 0 0 6
902 0 0 0 6
903 0 0 0 6
904 0 0 0 6
905 0 0 0 6
906 0 0 0 6
907 21,12,24 19,25,13 0 6
908 18,9,21 13,19,16 0 6
909 0 0 0 6
910 0 0 0 6
911 14,18,19 22,12,17 0 6
912 0 0 0 6
913 0 0 0 6
914 0 0 0 6
915 0 0 0 6
916 0 0 0 6
917 0 0 0 6
918 0 0 0 6
919 0 0 0 6
920 0 0 0 6
921 0 0 0 6
922 0 0 0 6
923 6,11,21 6,23,9 0 6
924 0 0 0 6
925 0 0 0 6
926 22,22 20,8,12,4 0 6
927 0 0 0 6
928 0 0 0 6
929 0 0 0 6
930 13,13,16 24,14,4 0 6
931 0 0 0 6
932 4,21,15 8,24,8 0 6
933 6,5,2,5 10,8 0 6
934 0 0 0 6
935 0 0 0 6
936 0 0 0 6
937 0 0 0 6
938 0 0 0 6
939 0 0 0 6
940 0 0 0 6
941 0 0 0 6
942 18,22,2 7,25,10 0 6
943 0 0 1012800 6
944 4,6,3,16 6,23 0 6
945 0 0 0 6
946 19,7,2,14 19,23 0 6
947 3,5,14,21 19,24 0 6
948 11,14,8 9,18,6 0 6
949 0 0 0 6
950 0 0 0 6
951 0 0 0 6
952 19,9,23 22,7,22 0 6
953 0 0 0 6
954 0 0 0 6
955 0 0 0 6
956 15,14,11 10,6,24 0 6
957 0 0 0 6
958 0 0 0 6
959 0 0 0 6
960 0 0 0 6
961 0 0 0 6
962 0 0 0 6
963 5,13,2 3,15,2 0 6
964 0 0 0 6
965 4,21,17 15,18,9 0 6
966 3,24,3,7 13,24 0 6
967 0 0 0 6
968 21,11,6 5,18,15 0 6
969 0 0 0 6
970 0 0 0 6
971 0 0 0 6
972 0 0 0 6
973 0 0 0 6
974 0 0 0 6
975 0 0 0 6
976 0 0 0 6
977 4,4,18,11 25,12 0 6
978 0 0 0 6
979 0 0 0 6
980 0 0 0 6
981 0 0 0 6
982 0 0 0 6
983 0 0 0 6
984 0 0 0 6
985 0 0 0 6
986 0 0 0 6
987 16,24,3 19,13,11 0 6
988 0 0 948200 6
989 0 0 0 6
990 0 0 0 6
991 0 0 0 6
992 13,24,13 3,24,23 0 6
993 0 0 0 6
994 15,19,6 11,15,14 0 6
995 0 0 0 6
996 0 0 0 6
997 0 0 0 6
998 0 0 0 6
999 21,10 3,9,15,4 0 6
1000 0 0 0 6
1001 0 0 0 6
1002 22,11,13 23,14,9 0 6
1003 13,13,9,2 21,16 0 6
1004 0 0 0 6
1005 11,4,5,4 20,4 0 6
1006 0 0 0 6
1007 0 0 0 6
1008 0 0 0 6
1009 0 0 0 6
1010 7,9,8,15 18,21 0 6
1011 0 0 0 6
1012 0 0 0 6
1013 20,7,10,3 20,20 0 6
1014 0 0 0 6
1015 12,4,9 10,13,2 0 6
1016 0 0 0 6
1017 23,4 5,2,10,10 0 6
1018 0 0 0 6
1019 0 0 0 6
1020 0 0 0 6
1021 0 0 0 6
1022 0 0 0 6
1023 25,21 15,5,4,22 0 6
1024 0 0 0 6
1025 0 0 0 6
1026 0 0 0 6
1027 0 0 0 6
1028 0 0 0 6
1029 9,5,22 10,9,17 0 6
1030 8,4,4,16 10,22 0 6
1031 0 0 0 6
1032 12,20,23 25,19,11 0 6
1033 0 0 1000500 6
1034 0 0 0 6
1035 0 0 0 6
1036 0 0 0 6
1037 0 0 0 6
1038 22,16,12 21,10,19 0 6
1039 0 0 0 6
1040 0 0 0 6
1041 0 0 0 6
1042 0 0 0 6
1043 0 0 0 6
1044 0 0 0 6
1045 21,22 5,3,17,18 0 6
1046 5,12,9 8,4,14 0 6
1047 0 0 0 6
1048 0 0 0 6
1049 0 0 0 6
1050 7,13,10 5,12,13 0 6
1051 0 0 0 6
1052 0 0 0 6
1053 0 0 0 6
1054 0 0 0 6
1055 0 0 0 6
1056 2,21,19 24,11,7 0 6
1057 0 0 0 6
1058 0 0 0 6
1059 0 0 0 6
1060 0 0 0 6
1061 0 0 0 6
