Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
591 19,25,4 8,20,6,10,4 0 8
592 7,19,19,25 24,8,23,15 0 8
593 14,13,5,8,10 16,20,14 0 8
594 9,20,20,10 15,18,7,19 0 8
595 0 0 0 8
596 0 0 0 8
597 6,17,21,14 9,16,16,17 0 8
598 17,19,10,10 11,21,7,17 0 8
599 0 0 0 8
600 0 0 999900 8
601 5,24,21,2,7 22,19,15,3 0 9
602 0 0 0 9
603 3,19,16,4,5,3 13,19,18 0 9
604 0 0 0 9
605 0 0 0 9
606 14,12,20,6 7,10,2,18,15 0 9
607 0 0 0 9
608 0 0 0 9
609 0 0 1492900 9
610 0 0 0 9
611 0 0 0 9
612 14,8,5,6,22 10,20,19,6 0 9
613 8,24,7,5,9 16,10,3,24 0 9
614 17,10,4,5,17 11,21,18,3 0 9
615 0 0 0 9
616 17,13,21,18 22,21,16,4,6 0 9
617 4,11,4,5,21,4 22,11,16 0 9
618 17,3,6,20,3,6 17,14,24 0 9
619 4,15,11,8,14 5,5,24,18 0 9
620 0 0 0 9
621 21,10,21,13 25,12,4,16,8 1449900 9
622 17,20,19,7 21,19,10,9,4 0 9
623 0 0 0 9
624 0 0 0 9
625 24,21,11,22 24,25,25,2,2 0 9
626 0 0 0 9
627 0 0 1019800 9
628 0 0 0 9
629 0 0 0 9
630 0 0 0 9
631 0 0 0 9
632 0 0 0 9
633 21,8,8,6,16 23,17,17,2 0 9
634 0 0 1472100 9
635 0 0 0 9
636 4,7,18,5,10,2 8,19,19 0 9
637 4,21,25,24 18,18,2,19,17 0 9
638 18,2,2,7,20,4 19,13,21 0 9
639 8,12,16,12,5 23,6,11,13 0 9
640 0 0 0 9
641 0 0 0 9
642 14,21,7,20 13,5,19,6,19 0 9
643 7,11,10,10,3,12 18,19,16 0 9
644 0 0 0 9
645 0 0 0 9
646 22,8,21,9,5 15,16,25,9 0 9
647 5,7,18,18,13 22,17,11,11 1327200 9
648 0 0 0 9
649 0 0 0 9
650 4,5,8,9,4,11 22,14,5 0 9
651 0 0 0 9
652 0 0 0 9
653 0 0 942700 9
654 25,2,7,24 6,2,21,23,6 0 9
655 9,3,20,12,7 6,11,23,11 0 9
656 0 0 0 9
657 0 0 508700 9
658 0 0 0 9
659 0 0 0 9
660 25,5,21,6 4,18,21,3,11 0 9
661 15,3,23,11,2,11 25,15,25 0 9
662 5,18,21,9,6 14,7,20,18 0 9
663 0 0 0 9
664 0 0 0 9
665 0 0 1022100 9
666 18,25,22,22 9,19,14,24,21 0 9
667 0 0 0 9
668 0 0 0 9
669 7,10,2,7,22 10,8,13,17 0 9
670 0 0 0 9
671 0 0 0 9
672 16,7,21,16 13,11,17,9,10 0 9
